sku,official_names,tools,source_lines
FA219,"4-40 X 1/2"" Fillister Slot | 4-40 x 1/2"" Fillister Slot",Columbia Automatic Taper Body | Columbia Automatic Taper Head | Columbia Corner Flusher Box,123 | 269 | 357
FA238,"6-32 X 3/16"" Fillister Slot | 6-32 x 3/16"" Fillister Slot",Columbia Automatic Taper Head | Columbia Corner Flusher Box | Columbia Flat Finishing Box,131 | 177 | 273
FA239,"6-32 X 1/4"" Binder Slot | 6-32 x 1/4"" Binder Slot",Columbia Automatic Taper Body | Columbia Automatic Taper Head | Columbia Flat Finishing Box,132 | 178 | 360
FA241,"6-32 X 3/8"" Binder Slot | 6-32 x 3/8"" Binder Slot",Columbia Automatic Taper Head | Columbia Corner Flusher Box | Columbia Flat Finishing Box | Columbia Hinged Nailspotter,133 | 147 | 179 | 274
FA245,"6-32 X 1/2"" Fillister Slot | 6-32 x 1/2"" Fillister Slot",Columbia Angle Head | Columbia Automatic Taper Head,136 | 333
FA249,"8-32 x 3/16"" Set Screw | 8-32X3/16"" Set Screw",Columbia Automatic Taper Body | Columbia Hot Mud Pump,361 | 376
FA256,"8-32 X 3/16"" Pan Slot | 8-32 x 3/16"" Pan Slot",Columbia Hot Mud Pump | Columbia Hydra-Reach Box Handle | Columbia Matrix Handle,4 | 229 | 377
FA257,"8-32 X 1/4"" Fillister Slot | 8-32 x 1/4"" Fillister Slot",Columbia 180 Grip Box Handle | Columbia Automatic Taper Head,139 | 300
FA258,"8-32 X 1/4"" Half Dog Set | 8-32 x 1/4"" Half Dog Set | 8-32X 1/4 Half Dog Set",Columbia Angle Head | Columbia Automatic Taper Head | Columbia Corner Flusher Box | Columbia Flat Finishing Box | Columbia Matrix Handle,5 | 140 | 181 | 277 | 334
FA265,"8-32 X 3/4"" Truss Slot | 8-32 x 3/4"" Truss Slot",Columbia 180 Grip Box Handle | Columbia Automatic Taper Head,142 | 302
HH8,Handle Tube | Hydra Reach Handle Tube,Columbia Hydra-Reach Box Handle | Columbia Matrix Handle,13 | 238
